Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Disease
Loss of Smell,Fatigue,Runny Nose,Loss of Taste,Rapid Heart Rate,Confusion,Ear Pain,Unknown
Rapid Heart Rate,Chills,High Blood Pressure,Fever,Sweating,Swollen Lymph Nodes,Loss of Smell,Hypotension
Abdominal Pain,High Blood Pressure,Low Blood Pressure,Weakness,Runny Nose,Joint Pain,Skin Peeling,Unknown
Chills,Sore Throat,Loss of Smell,Fatigue,Dizziness,Loss of Taste,Vomiting,Unknown
Abdominal Pain,Sweating,Runny Nose,Muscle Pain,Chills,Nausea,Loss of Appetite,Migraine
Loss of Appetite,Loss of Smell,Joint Pain,Loss of Taste,Rash,Abdominal Pain,Weakness,Unknown
Fatigue,Cough,High Blood Pressure,Skin Redness,Shortness of Breath,Confusion,Difficulty Swallowing,Hypertension
Rash,Blurred Vision,Cough,Nausea,Confusion,Shortness of Breath,Rapid Heart Rate,Meningitis
Swollen Lymph Nodes,Headache,Shortness of Breath,Chills,Weakness,Skin Redness,Fatigue,Strep Throat
Nausea,Runny Nose,Vomiting,Weakness,Rash,Skin Redness,Difficulty Swallowing,Unknown
Loss of Taste,Swollen Lymph Nodes,Abdominal Pain,Fatigue,High Blood Pressure,Loss of Smell,Headache,Hypertension
Dizziness,Vomiting,Ear Pain,Difficulty Swallowing,Fever,Chills,Runny Nose,Migraine
Confusion,Chills,Nausea,Loss of Taste,Joint Pain,Fatigue,Diarrhea,Meningitis
Low Blood Pressure,Chills,Skin Peeling,Dizziness,Rash,Cough,Skin Redness,Migraine
Rapid Heart Rate,Fatigue,Sweating,Difficulty Swallowing,High Blood Pressure,Low Blood Pressure,Joint Pain,Unknown
Runny Nose,Skin Peeling,Skin Redness,Muscle Pain,Difficulty Swallowing,Low Blood Pressure,Sore Throat,Strep Throat
Cough,Nausea,Skin Redness,Muscle Pain,Headache,Fatigue,Blurred Vision,Typhoid
Swollen Lymph Nodes,Sweating,High Blood Pressure,Shortness of Breath,Skin Redness,Sore Throat,Rapid Heart Rate,Cold
Blurred Vision,Loss of Appetite,Shortness of Breath,Weakness,Muscle Pain,Vomiting,Headache,COVID-19
Skin Redness,Chills,Vomiting,Sweating,Joint Pain,Diarrhea,Weakness,Unknown
Rapid Heart Rate,Runny Nose,Vomiting,Swollen Lymph Nodes,Headache,Low Blood Pressure,Shortness of Breath,Food Poisoning
Confusion,High Blood Pressure,Skin Redness,Shortness of Breath,Ear Pain,Chills,Loss of Appetite,Ear Infection
Shortness of Breath,Confusion,Fatigue,Chest Pain,Fever,Loss of Taste,Rash,Flu
Skin Peeling,Swollen Lymph Nodes,Shortness of Breath,Low Blood Pressure,Fever,Difficulty Swallowing,Confusion,Unknown
Loss of Smell,High Blood Pressure,Headache,Runny Nose,Cough,Sore Throat,Nausea,Migraine
Blurred Vision,Fever,Cough,Fatigue,High Blood Pressure,Rapid Heart Rate,Low Blood Pressure,Cold
Weakness,Blurred Vision,Confusion,Low Blood Pressure,Vomiting,Abdominal Pain,Joint Pain,Unknown
Skin Peeling,Nausea,Abdominal Pain,Sweating,Cough,Confusion,Loss of Taste,Scarlet Fever
Diarrhea,Confusion,Sore Throat,Swollen Lymph Nodes,Rash,Skin Redness,Abdominal Pain,Unknown
Skin Peeling,Ear Pain,Joint Pain,Loss of Taste,Fatigue,Vomiting,Loss of Smell,Cold
Rash,Chest Pain,Headache,Shortness of Breath,Fatigue,Cough,High Blood Pressure,Dengue
Muscle Pain,Shortness of Breath,Fever,Rapid Heart Rate,Rash,Cough,Skin Redness,Hypotension
Loss of Appetite,Difficulty Swallowing,Skin Peeling,Vomiting,Ear Pain,Shortness of Breath,Weakness,Unknown
Weakness,Shortness of Breath,Swollen Lymph Nodes,Cough,Sore Throat,Dizziness,High Blood Pressure,Unknown
Dizziness,Loss of Taste,Low Blood Pressure,Chest Pain,Joint Pain,Chills,Blurred Vision,Malaria
Loss of Smell,Dizziness,Loss of Taste,Weakness,Vomiting,Chest Pain,Skin Peeling,Unknown
Joint Pain,Headache,Sore Throat,Nausea,Low Blood Pressure,Fever,Rash,Hypotension
Loss of Appetite,Sore Throat,Low Blood Pressure,Chest Pain,Skin Redness,Weakness,Sweating,Malaria
Skin Redness,Vomiting,Ear Pain,Abdominal Pain,Loss of Appetite,Weakness,Difficulty Swallowing,Food Poisoning
Muscle Pain,Joint Pain,Abdominal Pain,Rash,Low Blood Pressure,Shortness of Breath,Skin Peeling,COVID-19
Dizziness,Shortness of Breath,Confusion,Abdominal Pain,Muscle Pain,Swollen Lymph Nodes,Cough,Hypotension
Vomiting,Muscle Pain,High Blood Pressure,Confusion,Rapid Heart Rate,Sweating,Difficulty Swallowing,Unknown
Dizziness,Loss of Appetite,Loss of Taste,Weakness,Fever,Diarrhea,Low Blood Pressure,Hypotension
Fever,Cough,Low Blood Pressure,Nausea,Blurred Vision,Runny Nose,Swollen Lymph Nodes,Migraine
Skin Redness,Rapid Heart Rate,Joint Pain,Loss of Appetite,Difficulty Swallowing,Shortness of Breath,Chest Pain,Unknown
Loss of Smell,Sweating,Blurred Vision,Ear Pain,Loss of Taste,Dizziness,Runny Nose,Ear Infection
Loss of Taste,Rapid Heart Rate,Shortness of Breath,Loss of Appetite,Ear Pain,Dizziness,Headache,Typhoid
Blurred Vision,Muscle Pain,Chest Pain,Rapid Heart Rate,Cough,Loss of Smell,Ear Pain,Hypotension
Skin Redness,Difficulty Swallowing,Low Blood Pressure,Rash,Vomiting,Fatigue,Rapid Heart Rate,Strep Throat
Skin Peeling,Fatigue,Headache,Blurred Vision,Skin Redness,Ear Pain,Confusion,Unknown
Muscle Pain,Diarrhea,Fever,Rapid Heart Rate,Skin Redness,Rash,Chest Pain,Typhoid
Fever,Chest Pain,Skin Redness,Cough,Confusion,Chills,Rash,Meningitis
Chest Pain,Swollen Lymph Nodes,Headache,Rapid Heart Rate,Loss of Taste,Joint Pain,Diarrhea,Strep Throat
Fatigue,Cough,Confusion,Blurred Vision,Difficulty Swallowing,Sore Throat,Chills,Hypertension
Loss of Appetite,Confusion,Blurred Vision,Loss of Smell,Chest Pain,Abdominal Pain,Joint Pain,Unknown
High Blood Pressure,Difficulty Swallowing,Joint Pain,Sweating,Headache,Vomiting,Abdominal Pain,Flu
Sweating,Chest Pain,Ear Pain,Loss of Taste,High Blood Pressure,Muscle Pain,Loss of Smell,Dengue
Fatigue,Dizziness,Diarrhea,Rapid Heart Rate,Chest Pain,Skin Peeling,Abdominal Pain,Typhoid
Ear Pain,Abdominal Pain,Dizziness,Loss of Appetite,Fever,Rapid Heart Rate,Shortness of Breath,Malaria
Swollen Lymph Nodes,Low Blood Pressure,Blurred Vision,Abdominal Pain,Skin Redness,Fever,Runny Nose,Malaria
Shortness of Breath,Dizziness,Joint Pain,Runny Nose,Difficulty Swallowing,Chest Pain,Confusion,Migraine
Fatigue,Loss of Smell,Abdominal Pain,Rapid Heart Rate,Skin Peeling,Low Blood Pressure,Headache,Flu
Cough,Sore Throat,Difficulty Swallowing,Skin Peeling,Chest Pain,High Blood Pressure,Swollen Lymph Nodes,Unknown
Diarrhea,Difficulty Swallowing,Loss of Smell,Cough,Skin Peeling,Rapid Heart Rate,Swollen Lymph Nodes,COVID-19
Vomiting,Difficulty Swallowing,High Blood Pressure,Loss of Taste,Low Blood Pressure,Runny Nose,Confusion,Cold
Chills,High Blood Pressure,Shortness of Breath,Fatigue,Diarrhea,Runny Nose,Abdominal Pain,Food Poisoning
Swollen Lymph Nodes,Shortness of Breath,Fatigue,Difficulty Swallowing,Chest Pain,Ear Pain,Rapid Heart Rate,Cold
Chills,Difficulty Swallowing,Rash,Loss of Taste,Sore Throat,Skin Redness,Confusion,Unknown
Difficulty Swallowing,Muscle Pain,Loss of Smell,Cough,Sore Throat,Loss of Appetite,Skin Peeling,Flu
Chills,Difficulty Swallowing,Cough,Low Blood Pressure,Blurred Vision,Rash,Joint Pain,COVID-19
Blurred Vision,Joint Pain,Low Blood Pressure,Difficulty Swallowing,Fatigue,Swollen Lymph Nodes,Cough,Strep Throat
Fatigue,Skin Redness,Difficulty Swallowing,Skin Peeling,Headache,Runny Nose,Low Blood Pressure,COVID-19
Diarrhea,Skin Redness,Cough,Rapid Heart Rate,Sweating,Confusion,Skin Peeling,Food Poisoning
Rapid Heart Rate,Skin Peeling,Chills,Sweating,Confusion,Dizziness,Skin Redness,Scarlet Fever
Loss of Smell,Rapid Heart Rate,Abdominal Pain,Loss of Appetite,Joint Pain,Vomiting,Skin Peeling,Unknown
Blurred Vision,Vomiting,Chest Pain,Fatigue,Cough,Nausea,Skin Redness,Migraine
Cough,Swollen Lymph Nodes,Weakness,Loss of Smell,Diarrhea,Headache,Rapid Heart Rate,Meningitis
Loss of Appetite,Loss of Smell,Sweating,Joint Pain,Weakness,High Blood Pressure,Diarrhea,Unknown
Chest Pain,Diarrhea,Headache,Sweating,Chills,Shortness of Breath,Fatigue,Unknown
Runny Nose,Fatigue,Joint Pain,Rapid Heart Rate,Cough,Swollen Lymph Nodes,Chest Pain,Pneumonia
Headache,Skin Redness,Ear Pain,Vomiting,Rash,Nausea,High Blood Pressure,Food Poisoning
Rash,Dizziness,Skin Redness,Abdominal Pain,Chest Pain,Confusion,Loss of Taste,Unknown
Joint Pain,Diarrhea,Loss of Taste,Chills,Weakness,Confusion,Swollen Lymph Nodes,Unknown
Weakness,Joint Pain,Nausea,Swollen Lymph Nodes,Dizziness,Chills,Cough,Cold
Loss of Taste,Loss of Appetite,Sweating,Ear Pain,Abdominal Pain,Chills,Skin Peeling,COVID-19
Headache,High Blood Pressure,Abdominal Pain,Sore Throat,Shortness of Breath,Loss of Smell,Rapid Heart Rate,Hypotension
Chills,Nausea,Shortness of Breath,Weakness,High Blood Pressure,Rapid Heart Rate,Chest Pain,Typhoid
Vomiting,Muscle Pain,Chills,Skin Redness,Blurred Vision,High Blood Pressure,Sore Throat,Dengue
High Blood Pressure,Loss of Appetite,Blurred Vision,Vomiting,Weakness,Swollen Lymph Nodes,Dizziness,Typhoid
Dizziness,Joint Pain,Runny Nose,Sore Throat,Chills,Skin Redness,Loss of Smell,Unknown
Runny Nose,Loss of Appetite,Diarrhea,Fatigue,Rapid Heart Rate,Blurred Vision,Shortness of Breath,Unknown
Loss of Smell,Low Blood Pressure,Fatigue,Blurred Vision,Fever,Loss of Taste,Nausea,Cold
Chills,Abdominal Pain,Chest Pain,Runny Nose,Weakness,Vomiting,Joint Pain,Hypotension
Diarrhea,Joint Pain,Loss of Appetite,Loss of Smell,Swollen Lymph Nodes,Headache,Chills,Unknown
Loss of Smell,Rash,Joint Pain,Low Blood Pressure,Shortness of Breath,Skin Redness,Loss of Taste,Unknown
Shortness of Breath,Loss of Taste,Nausea,Ear Pain,Sweating,Vomiting,Cough,Unknown
Sore Throat,Loss of Appetite,Chest Pain,Chills,Blurred Vision,Rapid Heart Rate,Confusion,Strep Throat
Skin Redness,Rash,Abdominal Pain,Loss of Appetite,Swollen Lymph Nodes,Confusion,Cough,Dengue
Chest Pain,Sweating,High Blood Pressure,Loss of Smell,Weakness,Skin Redness,Diarrhea,Unknown
High Blood Pressure,Rapid Heart Rate,Runny Nose,Nausea,Dizziness,Ear Pain,Skin Peeling,Migraine
Nausea,Chills,Confusion,Loss of Taste,Vomiting,Loss of Smell,Muscle Pain,Migraine
Headache,Skin Peeling,Chest Pain,Joint Pain,Swollen Lymph Nodes,Chills,Vomiting,Malaria
Loss of Smell,Chest Pain,Skin Redness,Blurred Vision,Abdominal Pain,Shortness of Breath,Confusion,Scarlet Fever
Rash,Fever,Skin Peeling,Loss of Taste,Muscle Pain,Chest Pain,Confusion,Unknown
Skin Redness,Low Blood Pressure,Joint Pain,Cough,Loss of Appetite,Skin Peeling,Diarrhea,Dengue
Weakness,Rash,Difficulty Swallowing,Skin Peeling,Cough,Diarrhea,Rapid Heart Rate,Cold
Cough,Fatigue,Sore Throat,Low Blood Pressure,Sweating,Diarrhea,Confusion,Typhoid
Joint Pain,Skin Peeling,Weakness,Ear Pain,Nausea,Swollen Lymph Nodes,Low Blood Pressure,Scarlet Fever
Headache,Rapid Heart Rate,Sweating,Confusion,Blurred Vision,Skin Peeling,Chest Pain,Unknown
Fatigue,Runny Nose,Loss of Taste,Loss of Appetite,Loss of Smell,Weakness,Blurred Vision,Flu
Runny Nose,Vomiting,Dizziness,Swollen Lymph Nodes,Fever,Joint Pain,Skin Peeling,Migraine
Abdominal Pain,Blurred Vision,Chills,Fatigue,Vomiting,Low Blood Pressure,Swollen Lymph Nodes,Unknown
Chest Pain,Dizziness,High Blood Pressure,Loss of Smell,Confusion,Loss of Appetite,Fever,Flu
Confusion,Headache,Rash,Difficulty Swallowing,Loss of Taste,Weakness,Fever,Hypotension
Low Blood Pressure,Nausea,Headache,Runny Nose,Sore Throat,Confusion,Skin Redness,Unknown
Sore Throat,Sweating,Rapid Heart Rate,High Blood Pressure,Shortness of Breath,Abdominal Pain,Headache,Flu
Ear Pain,Vomiting,Loss of Appetite,Joint Pain,Skin Redness,Fatigue,Abdominal Pain,Unknown
Chills,Headache,Weakness,Difficulty Swallowing,High Blood Pressure,Skin Peeling,Loss of Appetite,Migraine
Nausea,Abdominal Pain,Loss of Appetite,Vomiting,Sore Throat,Chills,Muscle Pain,Flu
Loss of Appetite,Abdominal Pain,Diarrhea,Low Blood Pressure,Runny Nose,Confusion,Blurred Vision,Unknown
Loss of Appetite,Shortness of Breath,Diarrhea,Rapid Heart Rate,Loss of Taste,Loss of Smell,Abdominal Pain,Unknown
Loss of Taste,Joint Pain,Dizziness,Rapid Heart Rate,Vomiting,Cough,High Blood Pressure,Food Poisoning
Cough,Chest Pain,Skin Redness,Chills,Ear Pain,Skin Peeling,Rapid Heart Rate,Unknown
Joint Pain,Muscle Pain,High Blood Pressure,Swollen Lymph Nodes,Abdominal Pain,Rapid Heart Rate,Cough,Typhoid
Confusion,Joint Pain,Skin Redness,Rapid Heart Rate,Cough,Skin Peeling,Fatigue,Unknown
Diarrhea,Loss of Smell,Difficulty Swallowing,Vomiting,Cough,Low Blood Pressure,Confusion,Unknown
Sore Throat,Ear Pain,Skin Redness,Fatigue,Confusion,Fever,Headache,Dengue
Joint Pain,Runny Nose,Cough,Abdominal Pain,Confusion,Chills,Low Blood Pressure,Unknown
Runny Nose,Fatigue,Swollen Lymph Nodes,Confusion,Fever,Abdominal Pain,Rash,Malaria
Diarrhea,Headache,Sore Throat,Skin Peeling,Rash,Fever,High Blood Pressure,Cold
Loss of Smell,Shortness of Breath,Skin Peeling,Abdominal Pain,Fatigue,Joint Pain,Muscle Pain,Unknown
Confusion,Swollen Lymph Nodes,Shortness of Breath,Loss of Appetite,Dizziness,Headache,Rash,COVID-19
Difficulty Swallowing,Sore Throat,Blurred Vision,Rapid Heart Rate,Loss of Taste,Diarrhea,Skin Redness,Cold
Chills,Vomiting,Dizziness,Joint Pain,Fever,Weakness,Swollen Lymph Nodes,COVID-19
Sore Throat,Skin Peeling,Skin Redness,Confusion,Dizziness,Loss of Smell,Runny Nose,Unknown
Joint Pain,Rash,Blurred Vision,Chest Pain,Skin Peeling,Rapid Heart Rate,Swollen Lymph Nodes,Unknown
Blurred Vision,Runny Nose,Chills,Diarrhea,High Blood Pressure,Cough,Low Blood Pressure,COVID-19
Chest Pain,Shortness of Breath,Skin Peeling,Fatigue,High Blood Pressure,Runny Nose,Rapid Heart Rate,Unknown
Loss of Taste,Joint Pain,Confusion,Weakness,Dizziness,Loss of Appetite,Runny Nose,Migraine
Skin Redness,Confusion,Fever,Loss of Taste,Skin Peeling,Joint Pain,Runny Nose,Typhoid
Muscle Pain,Diarrhea,Vomiting,Loss of Taste,Rapid Heart Rate,Abdominal Pain,Loss of Appetite,Unknown
Swollen Lymph Nodes,Muscle Pain,Fatigue,Sore Throat,Confusion,Low Blood Pressure,Loss of Smell,Strep Throat
Swollen Lymph Nodes,Muscle Pain,Skin Redness,Fever,Skin Peeling,Joint Pain,Sweating,Strep Throat
Fever,Ear Pain,Sweating,Joint Pain,Swollen Lymph Nodes,Rash,Loss of Appetite,Flu
Skin Peeling,Skin Redness,Fatigue,Runny Nose,Rapid Heart Rate,Sore Throat,Shortness of Breath,Unknown
Muscle Pain,Vomiting,Headache,Loss of Appetite,Loss of Taste,Joint Pain,Skin Peeling,Food Poisoning
Fatigue,Muscle Pain,Diarrhea,Skin Peeling,Vomiting,Loss of Smell,Rash,Unknown
Chills,Headache,Diarrhea,Cough,Vomiting,Abdominal Pain,Runny Nose,Typhoid
Weakness,Blurred Vision,Skin Redness,Nausea,Low Blood Pressure,Abdominal Pain,Difficulty Swallowing,Unknown
Skin Peeling,Low Blood Pressure,Muscle Pain,High Blood Pressure,Nausea,Vomiting,Loss of Taste,Unknown
Abdominal Pain,Loss of Smell,Skin Peeling,Sore Throat,Ear Pain,Chills,Joint Pain,Flu
Headache,Nausea,Cough,Dizziness,Confusion,Shortness of Breath,Abdominal Pain,Migraine
Difficulty Swallowing,Chest Pain,Sweating,Shortness of Breath,Low Blood Pressure,Fever,Swollen Lymph Nodes,Dengue
Dizziness,Loss of Appetite,Skin Peeling,Weakness,Fatigue,Muscle Pain,Fever,Meningitis
Ear Pain,Sweating,Diarrhea,Skin Redness,Low Blood Pressure,Shortness of Breath,Difficulty Swallowing,Unknown
Nausea,Rapid Heart Rate,Difficulty Swallowing,Sweating,Swollen Lymph Nodes,Runny Nose,Skin Peeling,Migraine
Rash,High Blood Pressure,Confusion,Headache,Vomiting,Shortness of Breath,Low Blood Pressure,Unknown
Sweating,Chills,Loss of Smell,Low Blood Pressure,Diarrhea,Confusion,Rapid Heart Rate,Unknown
Runny Nose,Ear Pain,Chills,Skin Redness,Headache,Skin Peeling,Loss of Appetite,Ear Infection
Cough,Sweating,Rapid Heart Rate,Vomiting,Diarrhea,Nausea,High Blood Pressure,Meningitis
High Blood Pressure,Vomiting,Blurred Vision,Headache,Skin Peeling,Difficulty Swallowing,Rapid Heart Rate,Scarlet Fever
Sweating,Loss of Smell,Fever,Rapid Heart Rate,Shortness of Breath,Vomiting,Skin Peeling,Scarlet Fever
Skin Redness,Sweating,Low Blood Pressure,Chest Pain,Joint Pain,Cough,Ear Pain,Hypotension
Nausea,Low Blood Pressure,Diarrhea,Vomiting,Fatigue,Confusion,Chills,Malaria
Shortness of Breath,Muscle Pain,High Blood Pressure,Weakness,Vomiting,Cough,Headache,Flu
Cough,Low Blood Pressure,Rapid Heart Rate,Dizziness,Loss of Appetite,Confusion,Vomiting,Pneumonia
Fatigue,Joint Pain,Diarrhea,Weakness,Loss of Appetite,Skin Redness,Skin Peeling,Unknown
Abdominal Pain,High Blood Pressure,Rapid Heart Rate,Swollen Lymph Nodes,Sore Throat,Loss of Smell,Fever,Scarlet Fever
Fever,Muscle Pain,Ear Pain,Skin Redness,Joint Pain,Sore Throat,Cough,Malaria
Confusion,Loss of Smell,Ear Pain,Runny Nose,Loss of Appetite,Skin Redness,Fever,Cold
Abdominal Pain,Cough,Chills,Chest Pain,Ear Pain,Blurred Vision,Sore Throat,Unknown
Fever,Joint Pain,Loss of Appetite,Chest Pain,Loss of Smell,High Blood Pressure,Fatigue,Meningitis
Difficulty Swallowing,Skin Redness,Skin Peeling,High Blood Pressure,Rapid Heart Rate,Sore Throat,Diarrhea,Hypertension
Skin Redness,Chills,Sweating,Shortness of Breath,Loss of Appetite,Muscle Pain,Runny Nose,Unknown
Low Blood Pressure,Swollen Lymph Nodes,Loss of Taste,Rapid Heart Rate,Joint Pain,Skin Peeling,Abdominal Pain,Typhoid
Sweating,Loss of Appetite,Blurred Vision,Fever,Swollen Lymph Nodes,Chills,Vomiting,Unknown
Sweating,Sore Throat,Blurred Vision,Rash,Skin Redness,Dizziness,Shortness of Breath,Unknown
Sweating,Muscle Pain,Loss of Taste,Loss of Appetite,High Blood Pressure,Nausea,Swollen Lymph Nodes,Dengue
Ear Pain,Dizziness,Rash,Swollen Lymph Nodes,Sweating,Blurred Vision,Rapid Heart Rate,Unknown
Difficulty Swallowing,Loss of Taste,Chest Pain,Vomiting,Abdominal Pain,Chills,Runny Nose,Unknown
Ear Pain,Joint Pain,Confusion,Headache,Weakness,Sweating,Fever,Typhoid
Dizziness,Fatigue,Diarrhea,Difficulty Swallowing,Chills,Muscle Pain,Joint Pain,Typhoid
Vomiting,Diarrhea,Runny Nose,Ear Pain,Loss of Smell,Cough,Chest Pain,COVID-19
Skin Peeling,Loss of Appetite,Chest Pain,Nausea,Runny Nose,Loss of Taste,Muscle Pain,Dengue
Sore Throat,High Blood Pressure,Swollen Lymph Nodes,Rash,Blurred Vision,Confusion,Muscle Pain,Migraine
Chest Pain,Fever,Rash,Loss of Smell,High Blood Pressure,Swollen Lymph Nodes,Loss of Taste,COVID-19
Rapid Heart Rate,Confusion,Skin Redness,Low Blood Pressure,Dizziness,Chills,Loss of Smell,Meningitis
Swollen Lymph Nodes,Ear Pain,Rash,Abdominal Pain,Dizziness,Fever,Blurred Vision,Flu
Confusion,Runny Nose,Loss of Appetite,Shortness of Breath,Abdominal Pain,Low Blood Pressure,Rash,Hypotension
Loss of Appetite,Muscle Pain,Rash,Nausea,High Blood Pressure,Ear Pain,Weakness,Ear Infection
Cough,Skin Redness,Nausea,Skin Peeling,Diarrhea,Rash,Fever,COVID-19
Loss of Taste,Loss of Smell,Chills,Difficulty Swallowing,Nausea,Joint Pain,Low Blood Pressure,Food Poisoning
Difficulty Swallowing,Nausea,High Blood Pressure,Sore Throat,Dizziness,Weakness,Fatigue,Hypotension
Skin Peeling,Sweating,Blurred Vision,Runny Nose,Loss of Smell,Muscle Pain,High Blood Pressure,Unknown
Skin Redness,Loss of Smell,Difficulty Swallowing,Low Blood Pressure,Runny Nose,Sore Throat,Chest Pain,Cold
Abdominal Pain,Confusion,Skin Peeling,Muscle Pain,Sweating,Ear Pain,Weakness,Unknown
Abdominal Pain,Sweating,Vomiting,High Blood Pressure,Loss of Smell,Shortness of Breath,Weakness,Unknown
Difficulty Swallowing,Skin Peeling,Loss of Appetite,Confusion,Loss of Taste,Skin Redness,Loss of Smell,Unknown
Diarrhea,Chills,Rapid Heart Rate,Confusion,Sweating,Nausea,Skin Peeling,Unknown
Difficulty Swallowing,Swollen Lymph Nodes,Chills,Shortness of Breath,Muscle Pain,Skin Peeling,Runny Nose,Strep Throat
Fatigue,Low Blood Pressure,Chills,Swollen Lymph Nodes,Sweating,Sore Throat,Confusion,Malaria
Loss of Taste,Skin Redness,Low Blood Pressure,Joint Pain,High Blood Pressure,Swollen Lymph Nodes,Weakness,Unknown
Ear Pain,Loss of Appetite,Skin Peeling,Blurred Vision,Rash,Muscle Pain,Loss of Taste,Unknown
Ear Pain,Loss of Taste,Chills,Joint Pain,Shortness of Breath,Dizziness,Abdominal Pain,Unknown
Vomiting,Rapid Heart Rate,Loss of Smell,Muscle Pain,Chills,Shortness of Breath,Low Blood Pressure,Unknown
Muscle Pain,Loss of Taste,Shortness of Breath,Abdominal Pain,Sore Throat,Swollen Lymph Nodes,Confusion,Unknown
Dizziness,Headache,Loss of Smell,Weakness,Low Blood Pressure,Ear Pain,Vomiting,Migraine
Joint Pain,Blurred Vision,Loss of Appetite,Headache,Vomiting,Chest Pain,Rapid Heart Rate,Unknown
Runny Nose,Weakness,Fever,Diarrhea,Swollen Lymph Nodes,Loss of Smell,High Blood Pressure,Hypertension
Sore Throat,Headache,Skin Peeling,Runny Nose,Confusion,Swollen Lymph Nodes,Muscle Pain,Unknown
Vomiting,Low Blood Pressure,Loss of Smell,Diarrhea,Skin Peeling,Fever,Chills,Meningitis
High Blood Pressure,Rash,Dizziness,Shortness of Breath,Skin Peeling,Ear Pain,Nausea,Unknown
Joint Pain,Rapid Heart Rate,Vomiting,High Blood Pressure,Nausea,Difficulty Swallowing,Muscle Pain,Unknown
Low Blood Pressure,Chest Pain,Fatigue,Loss of Smell,Swollen Lymph Nodes,Sweating,Dizziness,Hypotension
Sore Throat,Nausea,Low Blood Pressure,Diarrhea,Chills,Headache,Chest Pain,Hypotension
Nausea,Sweating,Diarrhea,Difficulty Swallowing,Low Blood Pressure,High Blood Pressure,Loss of Appetite,Meningitis
Chills,Dizziness,Weakness,Skin Redness,Sore Throat,Rash,Joint Pain,Flu
Loss of Taste,Ear Pain,Shortness of Breath,Chills,Nausea,Joint Pain,Fever,Strep Throat
Headache,Loss of Taste,Vomiting,Dizziness,Joint Pain,Shortness of Breath,Muscle Pain,Hypertension
Difficulty Swallowing,Diarrhea,Fatigue,Cough,Nausea,Swollen Lymph Nodes,Low Blood Pressure,Unknown
Runny Nose,Loss of Taste,Chest Pain,Joint Pain,Confusion,Rapid Heart Rate,Blurred Vision,Pneumonia
Loss of Appetite,Low Blood Pressure,Joint Pain,Runny Nose,Chills,Confusion,Chest Pain,Hypotension
